"ringnr","y_adjusted","n_obs","y_mean","O_HOM","E_HOM","N_SITES","F_hat","locality"
"8L30599",3.4218094936739,3,36.8666666666667,44405,43350,64811,0.00934473295752491,"27"
"8L30604",0.311328752855188,5,32.08,43878,43310,64751,-0.0133352670424751,"60"
"8L30631",0.756746597359572,3,32.1666666666667,45944,43260,64683,0.0852347329575249,"61"
"8L30633",0.814166206895208,5,32.16,43531,43180,64534,-0.0234552670424751,"61"
"8L30634",1.13563379031154,1,33.1,43202,42780,63952,-0.0200552670424751,"61"
"8L30641",-1.58938455104419,6,29.5166666666667,44436,43190,64571,0.0183547329575249,"60"
"8L30667",1.87611863089163,3,34.0666666666667,43443,43290,64718,-0.0327082670424751,"63"
"8L30695",-1.73486793691864,5,29.14,43623,43330,64790,-0.0262752670424751,"61"
"8L30696",1.88644426023719,5,33.62,44289,43340,64798,0.00447473295752491,"61"
"8L30697",0.0179441309638474,4,31.35,43345,43030,64326,-0.0251152670424751,"61"
"8L30698",0.695350874808786,3,32.1,43066,42970,64196,-0.0354842670424751,"61"
"8L30709",-0.542115587943386,2,30.25,45515,43330,64787,0.0620347329575249,"61"
"8L30712",-0.0776521236992943,5,31.14,43487,43140,64488,-0.0234152670424751,"61"
"8L30724",1.04738338723359,2,32.25,45393,43310,64749,0.0574947329575249,"61"
"8L30748",0.158205848004888,1,31.5,43996,43350,64819,-0.00987526704247509,"60"
"8L30750",0.0583219191229088,5,31.58,43694,43310,64756,-0.0219852670424751,"60"
"8L30752",-1.28828805209438,1,28.5,43860,43360,64824,-0.0163652670424751,"60"
"8L30753",0.39722523350114,2,31.85,43955,43360,64827,-0.0120852670424751,"60"
"8L30757",0.475255829673447,1,32.1,43691,43320,64766,-0.0225152670424751,"60"
"8L30758",0.0914889463004925,1,31.3,44990,43340,64795,0.0371647329575249,"60"
"8L30759",0.485320750351162,2,32.05,43740,43330,64782,-0.0207352670424751,"60"
"8L30760",-0.294929789214174,1,30.5,43680,43340,64798,-0.0239352670424751,"60"
"8L30761",1.93315006146701,4,33.975,43181,42920,64160,-0.0274252670424751,"38"
"8L30762",2.03946894944645,3,33.8,43871,43340,64799,-0.0151052670424751,"61"
"8L30763",-1.05695083054942,4,30.05,44624,43330,64788,0.0204547329575249,"61"
"8L30764",0.650127502523661,1,32.1,44705,43200,64575,0.0307147329575249,"61"
"8L30765",-0.18999234921379,1,30.2,46030,43250,64671,0.0897347329575249,"61"
"8L30766",1.29814235884673,1,33.5,44000,43350,64813,-0.00941526704247509,"61"
"8L30767",1.47332585694353,2,33.35,43233,43300,64741,-0.0429932670424751,"61"
"8L30768",-0.796941349190377,4,30.3,43651,43350,64812,-0.0257352670424751,"61"
"8L30770",-1.1401860056672,2,29.05,43910,43350,64815,-0.0137852670424751,"61"
"8L30771",0.235843860158159,2,31.1,43806,43360,64828,-0.0190852670424751,"61"
"8L30772",0.776503733653502,3,32.0333333333333,43626,43350,64809,-0.0269052670424751,"61"
"8L30777",0.865945107966666,1,32.5,44417,43350,64810,0.00997473295752491,"61"
"8L30778",-0.623403174217398,1,29.5,43964,43250,64664,-0.00670526704247509,"61"
"8L30779",1.43667286384801,5,33.82,44937,43290,64718,0.0371047329575249,"26"
"8L30780",1.45056161274253,5,33.74,44517,43370,64843,0.0134847329575249,"26"
"8L30781",-1.16772622667102,2,30,46736,43300,64740,0.120434732957525,"26"
"8L30782",1.34737433089909,5,33.72,44420,43350,64815,0.00986473295752491,"26"
